text,drug1,drug2,ddi,ddi_type
these are described in greater detail below : oral drug2  drug0-type drug0  drug0  drug1  drug0  drug0  drug0  drug0  drug0  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug0 agents ;,cyclosporine,hypoglycemics,FALSE,none
these are described in greater detail below : oral drug0  drug0-type drug0  drug0  drug1  drug0  drug0  drug0  drug0  drug0  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug2 with oral drug0 agents ;,cyclosporine,diflucan,FALSE,none
these are described in greater detail below : oral drug0  drug0-type drug0  drug0  drug1  drug0  drug0  drug0  drug0  drug0  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug2 ;,cyclosporine,hypoglycemic agents,FALSE,none
these are described in greater detail below : oral drug2  drug0-type drug0  drug0  drug0  drug1  drug0  drug0  drug0  drug0  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug0 agents ;,rifampin,hypoglycemics,FALSE,none
these are described in greater detail below : oral drug0  drug0-type drug0  drug0  drug0  drug1  drug0  drug0  drug0  drug0  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug2 with oral drug0 agents ;,rifampin,diflucan,FALSE,none
these are described in greater detail below : oral drug0  drug0-type drug0  drug0  drug0  drug1  drug0  drug0  drug0  drug0  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug2 ;,rifampin,hypoglycemic agents,FALSE,none
these are described in greater detail below : oral drug2  drug0-type drug0  drug0  drug0  drug0  drug1  drug0  drug0  drug0  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug0 agents ;,theophylline,hypoglycemics,FALSE,none
these are described in greater detail below : oral drug0  drug0-type drug0  drug0  drug0  drug0  drug1  drug0  drug0  drug0  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug2 with oral drug0 agents ;,theophylline,diflucan,FALSE,none
these are described in greater detail below : oral drug0  drug0-type drug0  drug0  drug0  drug0  drug1  drug0  drug0  drug0  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug2 ;,theophylline,hypoglycemic agents,FALSE,none
these are described in greater detail below : oral drug2  drug0-type drug0  drug0  drug0  drug0  drug0  drug1  drug0  drug0  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug0 agents ;,terfenadine,hypoglycemics,FALSE,none
these are described in greater detail below : oral drug0  drug0-type drug0  drug0  drug0  drug0  drug0  drug1  drug0  drug0  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug2 with oral drug0 agents ;,terfenadine,diflucan,FALSE,none
these are described in greater detail below : oral drug0  drug0-type drug0  drug0  drug0  drug0  drug0  drug1  drug0  drug0  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug2 ;,terfenadine,hypoglycemic agents,FALSE,none
these are described in greater detail below : oral drug2  drug0-type drug0  drug0  drug0  drug0  drug0  drug0  drug1  drug0  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug0 agents ;,cisapride,hypoglycemics,FALSE,none
these are described in greater detail below : oral drug0  drug0-type drug0  drug0  drug0  drug0  drug0  drug0  drug1  drug0  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug2 with oral drug0 agents ;,cisapride,diflucan,FALSE,none
these are described in greater detail below : oral drug0  drug0-type drug0  drug0  drug0  drug0  drug0  drug0  drug1  drug0  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug2 ;,cisapride,hypoglycemic agents,FALSE,none
these are described in greater detail below : oral drug2  drug0-type drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug1  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug0 agents ;,astemizole,hypoglycemics,FALSE,none
these are described in greater detail below : oral drug0  drug0-type drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug1  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug2 with oral drug0 agents ;,astemizole,diflucan,FALSE,none
these are described in greater detail below : oral drug0  drug0-type drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug1  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug2 ;,astemizole,hypoglycemic agents,FALSE,none
these are described in greater detail below : oral drug2  drug0-type drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug1  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug0 agents ;,rifabutin,hypoglycemics,FALSE,none
these are described in greater detail below : oral drug0  drug0-type drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug1  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug2 with oral drug0 agents ;,rifabutin,diflucan,FALSE,none
these are described in greater detail below : oral drug0  drug0-type drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug1  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug2 ;,rifabutin,hypoglycemic agents,FALSE,none
these are described in greater detail below : oral drug2  drug0-type drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug1  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug0 agents ;,tacrolimus,hypoglycemics,FALSE,none
these are described in greater detail below : oral drug0  drug0-type drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug1  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug2 with oral drug0 agents ;,tacrolimus,diflucan,FALSE,none
these are described in greater detail below : oral drug0  drug0-type drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug1  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug2 ;,tacrolimus,hypoglycemic agents,FALSE,none
these are described in greater detail below : oral drug2  drug0-type drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug1  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug0 agents ;,short-acting benzodiazepines,hypoglycemics,FALSE,none
these are described in greater detail below : oral drug0  drug0-type drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug1  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug2 with oral drug0 agents ;,short-acting benzodiazepines,diflucan,FALSE,none
these are described in greater detail below : oral drug0  drug0-type drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug1  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug2 ;,short-acting benzodiazepines,hypoglycemic agents,FALSE,none
these are described in greater detail below : oral drug1  drug0-type drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug2 with oral drug0 agents ;,hypoglycemics,diflucan,FALSE,none
these are described in greater detail below : oral drug1  drug0-type drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug2 ;,hypoglycemics,hypoglycemic agents,FALSE,none
these are described in greater detail below : oral drug0  drug0-type drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug1 with oral drug2 ;,diflucan,hypoglycemic agents,TRUE,effect
one fatality has been reported from hypoglycemia in association with combined drug1 and drug2 use .,diflucan,glyburide,TRUE,effect
drug1 reduces the metabolism of drug2  drug0  and drug0 and increases the plasma concentration of these agents .,diflucan,tolbutamide,TRUE,mechanism
drug1 reduces the metabolism of drug0  drug2  and drug0 and increases the plasma concentration of these agents .,diflucan,glyburide,TRUE,mechanism
drug1 reduces the metabolism of drug0  drug0  and drug2 and increases the plasma concentration of these agents .,diflucan,glipizide,TRUE,mechanism
drug0 reduces the metabolism of drug0  drug1  and drug2 and increases the plasma concentration of these agents .,glyburide,glipizide,FALSE,none
when drug1 is used concomitantly with these or other drug2  blood glucose concentrations should be carefully monitored and the dose of the drug0 should be adjusted as necessary .,diflucan,sulfonylurea oral hypoglycemic agents,TRUE,advise
when drug1 is used concomitantly with these or other drug2 oral drug0 agents  blood glucose concentrations should be carefully monitored and the dose of the drug0 should be adjusted as necessary .,diflucan,sulfonylurea,FALSE,none
when drug0 is used concomitantly with these or other drug1  blood glucose concentrations should be carefully monitored and the dose of the drug2 should be adjusted as necessary .,sulfonylurea oral hypoglycemic agents,sulfonylurea,FALSE,none
drug1 : prothrombin time may be increased in patients receiving concomitant drug2 and drug0-type drug0 .,coumarin-type anticoagulants,diflucan,FALSE,none
drug2 : prothrombin time may be increased in patients receiving concomitant drug1 and drug0-type drug0 .,diflucan,coumarin-type anticoagulants,TRUE,effect
in post-marketing experience  as with other drug1  bleeding events ( bruising  epistaxis  gastrointestinal bleeding  hematuria  and melena ) have been reported in association with increases in prothrombin time in patients receiving drug2 concurrently with drug0 .,azole antifungals,fluconazole,FALSE,none
in post-marketing experience  as with other drug1  bleeding events ( bruising  epistaxis  gastrointestinal bleeding  hematuria  and melena ) have been reported in association with increases in prothrombin time in patients receiving drug0 concurrently with drug2 .,azole antifungals,warfarin,FALSE,none
in post-marketing experience  as with other drug0  bleeding events ( bruising  epistaxis  gastrointestinal bleeding  hematuria  and melena ) have been reported in association with increases in prothrombin time in patients receiving drug1 concurrently with drug2 .,fluconazole,warfarin,TRUE,effect
careful monitoring of prothrombin time in patients receiving drug1 and drug2 is recommended .,diflucan,coumarin-type anticoagulants,TRUE,advise
drug1 : drug2 increases the plasma concentrations of drug0 .,phenytoin,diflucan,FALSE,none
drug2 : drug1 increases the plasma concentrations of drug0 .,diflucan,phenytoin,TRUE,mechanism
careful monitoring of drug1 concentrations in patients receiving drug2 and drug0 is recommended .,phenytoin,diflucan,FALSE,none
careful monitoring of drug2 concentrations in patients receiving drug1 and drug0 is recommended .,diflucan,phenytoin,TRUE,advise
drug1 : drug2 may significantly increase drug0 levels in renal transplant patients with or without renal impairment .,cyclosporine,diflucan,FALSE,none
drug2 : drug1 may significantly increase drug0 levels in renal transplant patients with or without renal impairment .,diflucan,cyclosporine,TRUE,mechanism
careful monitoring of drug1 concentrations and serum creatinine is recommended in patients receiving drug2 and drug0 .,cyclosporine,diflucan,FALSE,none
careful monitoring of drug2 concentrations and serum creatinine is recommended in patients receiving drug1 and drug0 .,diflucan,cyclosporine,TRUE,advise
drug1 : drug0 enhances the metabolism of concurrently administered drug2 .,rifampin,diflucan,FALSE,none
drug1 : drug0 enhances the metabolism of concurrently administered drug2 .,rifampin,diflucan,TRUE,mechanism
depending on clinical circumstances  consideration should be given to increasing the dose of drug1 when it is administered with drug2 .,diflucan,rifampin,TRUE,advise
drug1 : drug2 increases the serum concentrations of drug0 .,theophylline,diflucan,FALSE,none
drug2 : drug1 increases the serum concentrations of drug0 .,diflucan,theophylline,TRUE,mechanism
careful monitoring of serum drug1 concentrations in patients receiving drug2 and drug0 is recommended .,theophylline,diflucan,FALSE,none
careful monitoring of serum drug2 concentrations in patients receiving drug1 and drug0 is recommended .,diflucan,theophylline,TRUE,advise
drug1 : because of the occurrence of serious cardiac dysrhythmias secondary to prolongation of the qtc interval in patients receiving drug2 in conjunction with drug0  interaction studies have been performed .,terfenadine,azole antifungals,FALSE,none
drug2 : because of the occurrence of serious cardiac dysrhythmias secondary to prolongation of the qtc interval in patients receiving drug1 in conjunction with drug0  interaction studies have been performed .,azole antifungals,terfenadine,TRUE,effect
another study at a 400-mg and 800-mg daily dose of drug1 demonstrated that drug2 taken in doses of 400 mg per day or greater significantly increases plasma levels of drug0 when taken concomitantly .,fluconazole,diflucan,FALSE,none
another study at a 400-mg and 800-mg daily dose of drug1 demonstrated that drug0 taken in doses of 400 mg per day or greater significantly increases plasma levels of drug2 when taken concomitantly .,fluconazole,terfenadine,FALSE,none
another study at a 400-mg and 800-mg daily dose of drug0 demonstrated that drug1 taken in doses of 400 mg per day or greater significantly increases plasma levels of drug2 when taken concomitantly .,diflucan,terfenadine,TRUE,mechanism
the combined use of drug1 at doses of 400 mg or greater with drug2 is contraindicated .,fluconazole,terfenadine,TRUE,advise
the coadministration of drug1 at doses lower than 400 mg/day with drug2 should be carefully monitored .,fluconazole,terfenadine,TRUE,advise
drug1 : there have been reports of cardiac events  including torsade de pointes in patients to whom drug2 and drug0 were coadministered .,cisapride,fluconazole,FALSE,none
drug2 : there have been reports of cardiac events  including torsade de pointes in patients to whom drug1 and drug0 were coadministered .,fluconazole,cisapride,TRUE,effect
a controlled study found that concomitant drug1 200 mg once daily and drug2 20 mg four times a day yielded a significant increase in drug0 plasma levels and prolongation of qtc interval .,fluconazole,cisapride,TRUE,mechanism
a controlled study found that concomitant drug1 200 mg once daily and drug2 20 mg four times a day yielded a significant increase in drug0 plasma levels and prolongation of qtc interval .,fluconazole,cisapride,FALSE,none
the combined use of drug1 with drug2 is contraindicated .,fluconazole,cisapride,TRUE,advise
drug1 : the use of drug2 in patients concurrently taking drug0 or other drugs metabolized by the cytochrome p450 system may be associated with elevations in serum levels of these drugs .,astemizole,fluconazole,FALSE,none
drug2 : the use of drug1 in patients concurrently taking drug0 or other drugs metabolized by the cytochrome p450 system may be associated with elevations in serum levels of these drugs .,fluconazole,astemizole,TRUE,mechanism
drug1 : there have been reports of uveitis in patients to whom drug2 and drug0 were coadministered .,rifabutin,fluconazole,FALSE,none
drug2 : there have been reports of uveitis in patients to whom drug1 and drug0 were coadministered .,fluconazole,rifabutin,TRUE,effect
patients receiving drug1 and drug2 concomitantly should be carefully monitored .,rifabutin,fluconazole,TRUE,advise
drug1 : there have been reports of nephrotoxicity in patients to whom drug2 and drug0 were coadministered .,tacrolimus,fluconazole,FALSE,none
drug2 : there have been reports of nephrotoxicity in patients to whom drug1 and drug0 were coadministered .,fluconazole,tacrolimus,TRUE,effect
patients receiving drug1 and drug2 concomitantly should be carefully monitored .,tacrolimus,fluconazole,TRUE,advise
drug1 : following oral administration of drug2  drug0 resulted in substantial increases in drug0 concentrations and psychomotor effects .,short-acting benzodiazepines,midazolam,FALSE,none
drug1 : following oral administration of drug0  drug2 resulted in substantial increases in drug0 concentrations and psychomotor effects .,short-acting benzodiazepines,fluconazole,FALSE,none
drug1 : following oral administration of drug2  drug0 resulted in substantial increases in drug0 concentrations and psychomotor effects .,short-acting benzodiazepines,midazolam,FALSE,none
this effect on drug1 appears to be more pronounced following oral administration of drug2 than with drug0 administered intravenously .,midazolam,fluconazole,TRUE,effect
this effect on drug1 appears to be more pronounced following oral administration of drug2 than with drug0 administered intravenously .,midazolam,fluconazole,FALSE,none
if drug1  which are metabolized by the cytochrome p450 system  are concomitantly administered with drug2  consideration should be given to decreasing the drug0 dosage  and the patients should be appropriately monitored .,short-acting benzodiazepines,fluconazole,TRUE,advise
if drug1  which are metabolized by the cytochrome p450 system  are concomitantly administered with drug0  consideration should be given to decreasing the drug2 dosage  and the patients should be appropriately monitored .,short-acting benzodiazepines,benzodiazepine,FALSE,none
if short-acting drug0  which are metabolized by the cytochrome p450 system  are concomitantly administered with drug1  consideration should be given to decreasing the drug2 dosage  and the patients should be appropriately monitored .,fluconazole,benzodiazepine,FALSE,none
drug1 tablets coadministered with drug2- and drug0-containing oral drug0 produced an overall mean increase in ethinyl drug0 and drug0 levels ;,fluconazole,ethinyl estradiol,TRUE,mechanism
drug1 tablets coadministered with ethinyl drug0- and drug2-containing oral drug0 produced an overall mean increase in ethinyl drug0 and drug0 levels ;,fluconazole,levonorgestrel,TRUE,mechanism
drug1 tablets coadministered with ethinyl drug0- and drug0-containing oral drug2 produced an overall mean increase in ethinyl drug0 and drug0 levels ;,fluconazole,contraceptives,FALSE,none
drug1 tablets coadministered with drug2- and drug0-containing oral drug0 produced an overall mean increase in ethinyl drug0 and drug0 levels ;,fluconazole,ethinyl estradiol,FALSE,none
drug1 tablets coadministered with ethinyl drug0- and drug2-containing oral drug0 produced an overall mean increase in ethinyl drug0 and drug0 levels ;,fluconazole,levonorgestrel,FALSE,none
drug0 tablets coadministered with drug1- and drug2-containing oral drug0 produced an overall mean increase in ethinyl drug0 and drug0 levels ;,ethinyl estradiol,levonorgestrel,FALSE,none
drug0 tablets coadministered with drug1- and drug0-containing oral drug2 produced an overall mean increase in ethinyl drug0 and drug0 levels ;,ethinyl estradiol,contraceptives,FALSE,none
drug0 tablets coadministered with drug1- and drug2-containing oral drug0 produced an overall mean increase in ethinyl drug0 and drug0 levels ;,ethinyl estradiol,levonorgestrel,FALSE,none
drug0 tablets coadministered with ethinyl drug0- and drug1-containing oral drug2 produced an overall mean increase in ethinyl drug0 and drug0 levels ;,levonorgestrel,contraceptives,FALSE,none
drug0 tablets coadministered with drug2- and drug1-containing oral drug0 produced an overall mean increase in ethinyl drug0 and drug0 levels ;,levonorgestrel,ethinyl estradiol,FALSE,none
drug0 tablets coadministered with drug2- and drug0-containing oral drug1 produced an overall mean increase in ethinyl drug0 and drug0 levels ;,contraceptives,ethinyl estradiol,FALSE,none
drug0 tablets coadministered with ethinyl drug0- and drug2-containing oral drug1 produced an overall mean increase in ethinyl drug0 and drug0 levels ;,contraceptives,levonorgestrel,FALSE,none
drug0 tablets coadministered with drug1- and drug2-containing oral drug0 produced an overall mean increase in ethinyl drug0 and drug0 levels ;,ethinyl estradiol,levonorgestrel,FALSE,none
however  in some patients there were decreases up to 47 % and 33 % of drug1 and drug2 levels .,ethinyl estradiol,levonorgestrel,FALSE,none
the data presently available indicate that the decreases in some individual drug1 and drug2 auc values with drug0 treatment are likely the result of random variation .,ethinyl estradiol,levonorgestrel,FALSE,none
the data presently available indicate that the decreases in some individual drug1 and drug0 auc values with drug2 treatment are likely the result of random variation .,ethinyl estradiol,fluconazole,FALSE,none
the data presently available indicate that the decreases in some individual ethinyl drug0 and drug1 auc values with drug2 treatment are likely the result of random variation .,levonorgestrel,fluconazole,FALSE,none
you can not take drug1 if you have taken a drug2 ( drug0 ) such as drug0 ( drug0 )  drug0 ( drug0 )  or drug0 ( drug0 ) in the last 14 days .,mazindol,monoamine oxidase inhibitor,TRUE,advise
you can not take drug1 if you have taken a drug0 ( drug2 ) such as drug0 ( drug0 )  drug0 ( drug0 )  or drug0 ( drug0 ) in the last 14 days .,mazindol,maoi,TRUE,advise
you can not take drug1 if you have taken a drug0 ( drug0 ) such as drug2 ( drug0 )  drug0 ( drug0 )  or drug0 ( drug0 ) in the last 14 days .,mazindol,isocarboxazid,TRUE,advise
you can not take drug1 if you have taken a drug0 ( drug0 ) such as drug0 ( drug2 )  drug0 ( drug0 )  or drug0 ( drug0 ) in the last 14 days .,mazindol,marplan,TRUE,advise
you can not take drug1 if you have taken a drug0 ( drug0 ) such as drug0 ( drug0 )  drug2 ( drug0 )  or drug0 ( drug0 ) in the last 14 days .,mazindol,tranylcypromine,TRUE,advise
you can not take drug1 if you have taken a drug0 ( drug0 ) such as drug0 ( drug0 )  drug0 ( drug2 )  or drug0 ( drug0 ) in the last 14 days .,mazindol,parnate,TRUE,advise
you can not take drug1 if you have taken a drug0 ( drug0 ) such as drug0 ( drug0 )  drug0 ( drug0 )  or drug2 ( drug0 ) in the last 14 days .,mazindol,phenelzine,TRUE,advise
you can not take drug1 if you have taken a drug0 ( drug0 ) such as drug0 ( drug0 )  drug0 ( drug0 )  or drug0 ( drug2 ) in the last 14 days .,mazindol,nardil,TRUE,advise
you can not take drug0 if you have taken a drug1 ( drug0 ) such as drug2 ( drug0 )  drug0 ( drug0 )  or drug0 ( drug0 ) in the last 14 days .,monoamine oxidase inhibitor,isocarboxazid,FALSE,none
